Date,Description,Amount
2026-01-01,Salary Payroll,120000
2026-01-02,Apartment Rent,-35000
2026-01-03,Swiggy Food Order,-850
2026-01-04,Uber Trip,-420
2026-01-10,Amazon Purchase,-3200
2026-01-15,Netflix Subscription,-649
2026-02-01,Salary Payroll,120000
2026-02-02,Apartment Rent,-35000
2026-02-05,Zomato Dinner,-1400
2026-02-08,Pharmacy Health Store,-1100
2026-02-15,Netflix Subscription,-649
2026-02-20,Mutual Fund SIP,-15000
2026-03-01,Salary Payroll,120000
2026-03-02,Apartment Rent,-35000
2026-03-06,Flight Travel Booking,-18000
2026-03-15,Netflix Subscription,-649
2026-03-21,Large Electronics Store,-78000
